Topic,Count,Name,Representation,Representative_Docs,generatedTopic,isPositiveSentiment,product
2,20,2_gives_misleading_th_generation,"['gives', 'misleading', 'th', 'generation', 'want', 'work', 'wouldnt', 'impressed', 'disappointed', 'product']","['misleading gives want', 'misleading gives want', 'misleading gives want']",Deceptive Advertising Practices,False,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
3,5,3_buying_month_iti_want,"['buying', 'month', 'iti', 'want', '', '', '', '', '', '']","['buying month buying', 'buying month buying', 'buying month buying']",**Considerations for purchasing a new tablet.**,False,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
4,4,4_slower_slow_performance_downloading,"['slower', 'slow', 'performance', 'downloading', 'dont', 'atleast', '', '', '', '']","['slow performance dont', 'slower atleast downloading', 'slower atleast downloading']",Performance Issues and Speed,False,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
0,668,0_tablet_use_wanted_need,"['tablet', 'use', 'wanted', 'need', 'battery', 'cheap', 'kindle', 'doesnt', 'old', 'little']","['purchased tablet use', 'like tablet use', 'wanted tablet']",**Topic: User Experiences with a Popular Tablet Device**,True,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
1,529,1_love_easy_tablet_use,"['love', 'easy', 'tablet', 'use', 'price', 'kindle', 'loved', 'works', 'best', 'great']","['love tablet best', 'love easy use', 'love easy use']",User-Friendliness and Overall Satisfaction,True,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
2,467,2_good_great_tablet_price,"['good', 'great', 'tablet', 'price', 'perfect', 'product', 'nice', 'excellent', 'kids', 'quality']","['good tablet price', 'good tablet price', 'good tablet price']",Affordable Tablet Value,True,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
3,458,3_loves_books_bought_read,"['loves', 'books', 'bought', 'read', 'daughter', 'gift', 'reading', 'old', 'son', 'easy']","['daughter loves read', 'loves daughter bought', 'loves daughter bought']",**Topic:** User Satisfaction and Gifting Potential,True,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
4,286,4_tablet_amazon_kindle_bought,"['tablet', 'amazon', 'kindle', 'bought', 'easy', 'using', 'play', 'wouldnt', 'replace', 'basic']","['amazon tablet easy', 'amazon tablet easy', 'amazon tablet bought']",User-friendliness and Accessibility,True,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
0,12,0_advertisements_sucks_clunky_consumer,"['advertisements', 'sucks', 'clunky', 'consumer', 'day', 'business', 'charging', 'carrasoul', 'horriblejust', 'browser']","['browser kind clunky', 'advertisements day guess', 'consumer opportunity unbecoming']",**Discussion Topic: User Experience with Budget Tablets**,False,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
1,10,1_alot_load_wait_videoit,"['alot', 'load', 'wait', 'videoit', 'version', 'vendor', 'wont', 'replacement', 'purchased', 'performance']","['wont load blanking', 'earlier line vendor', 'isnt compatible paperweight']",Compatibility Issues and Product Performance,False,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
2,9,2_tablet_minutes_diapointed_planning,"['tablet', 'minutes', 'diapointed', 'planning', 'need', 'restarts', 'life', 'library', 'wasnt', 'happy']","['happy tablet unhappy', 'restarts tablet plug', 'planning returning tablet']",Frequent device restarts and performance issues.,False,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
3,9,3_didnt_dont_features_store,"['didnt', 'dont', 'features', 'store', 'sites', 'single', 'pay', 'looking', 'hoping', 'told']","['tried tablet didnt', 'didnt want sites', 'didnt features looking']",**Topic: User Experience with New Tablets**,False,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
4,4,4_unit_touch_th_way,"['unit', 'touch', 'th', 'way', 'size', 'repaired', 'powerful', 'kindlle', 'exchange', 'different']","['touch unit repaired', 'bring exchange different', 'way th kindlle']",Device Functionality and Repair Options,False,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
0,723,0_tablet_use_need_ipad,"['tablet', 'use', 'need', 'ipad', 'amazon', 'kindle', 'didnt', 'cheap', 'expensive', 'old']","['tablet use', 'use kindle tablet', 'use tablet']",Versatile Tablet Usage,True,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
1,541,1_easy_use_books_read,"['easy', 'use', 'books', 'read', 'kindle', 'amazon', 'price', 'tablet', 'great', 'reading']","['tablet great easy', 'easy use read', 'read books kindle']",Reading on Tablets,True,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
2,472,2_great_good_price_tablet,"['great', 'good', 'price', 'tablet', 'nice', 'best', 'love', 'product', 'gift', 'recommend']","['price great', 'great tablet price', 'great tablet price']",Affordable Tablet Options,True,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
3,357,3_loves_love_christmas_daughter,"['loves', 'love', 'christmas', 'daughter', 'bought', 'gift', 'loved', 'son', 'old', 'wife']","['daughter christmas loves', 'daughter christmas loves', 'bought daughter loves']",Gift for Young Readers,True,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
4,310,4_tablet_use_bought_easy,"['tablet', 'use', 'bought', 'easy', 'apps', 'better', 'kindle', 'price', 'upgrade', 'easier']","['tablet easy use', 'easy use tablet', 'easy use tablet']",User-friendliness of tablets,True,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
0,14,0_didnt_tablet_ad_lack,"['didnt', 'tablet', 'ad', 'lack', 'dead', 'isnt', 'day', 'compatible', 'kind', 'buffers']","['didnt want sites', 'didnt features looking', 'tried tablet didnt']",Limited functionality for advanced users.,False,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
1,11,1_buy_remove_time_laggy,"['buy', 'remove', 'time', 'laggy', 'bad', 'sorry', 'says', 'restarting', 'quit', 'plus']","['business time sorry', 'buy says bad', 'hate buy sucks']",**Customer Dissatisfaction and Repurchase Intent**,False,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
2,11,2_tablet_performance_need_use,"['tablet', 'performance', 'need', 'use', 'unhappy', 'trouble', 'store', 'shop', 'shoot', 'returning']","['went store hoping', 'planning returning tablet', 'happy tablet unhappy']",Customer Satisfaction and Return Policies,False,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
3,6,3_died_unreliable_unpredictable_unfortunately,"['died', 'unreliable', 'unpredictable', 'unfortunately', 'unbecoming', 'purchased', 'product', 'problem', 'opportunity', 'manufacturers']","['hd purchased died', 'consumer opportunity unbecoming', 'available unpredictable unreliable']",Device Reliability and Customer Support,False,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
4,5,4_unit_touch_th_way,"['unit', 'touch', 'th', 'way', 'size', 'repaired', 'powerful', 'kindlle', 'exchange', 'different']","['bring exchange different', 'way th kindlle', 'touch unit repaired']",Refurbished Devices: Reliability and Value,False,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
0,681,0_tablet_use_ipad_kindle,"['tablet', 'use', 'ipad', 'kindle', 'need', 'didnt', 'cheap', 'expensive', 'dont', 'amazon']","['tablet expensive tablet', 'kindle use tablet', 'use tablet']",Tablet value and utility.,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
1,550,1_price_great_tablet_easy,"['price', 'great', 'tablet', 'easy', 'use', 'best', 'screen', 'works', 'read', 'recommend']","['tablet great price', 'tablet great price', 'great tablet price']",Affordable Tablet Value,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
2,412,2_easy_tablet_use_kindle,"['easy', 'tablet', 'use', 'kindle', 'amazon', 'bought', 'reading', 'books', 'apps', 'better']","['tablet easy use', 'easy use tablet', 'use tablet easy']",Ease of Use and Accessibility,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
3,342,3_love_loves_gift_christmas,"['love', 'loves', 'gift', 'christmas', 'bought', 'loved', 'wife', 'daughter', 'kindle', 'son']","['love tablet', 'bought gift love', 'bought gift loves']",A great gift idea.,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
4,335,4_great_good_price_tablet,"['great', 'good', 'price', 'tablet', 'nice', 'perfect', 'happy', 'product', 'awesome', 'kindle']","['really great price', 'price great', 'great product price']",Affordability and Value,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
0,15,0_confusing_amazon_complicated_cumbersome,"['confusing', 'amazon', 'complicated', 'cumbersome', 'kid', 'really', 'breaks', 'connect', 'damage', 'worse']","['cumbersome complicated kid', 'amazon really confusing', 'amazon really confusing']",Difficulty for children to use.,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case"
1,14,1_frustrating_friendly_toddler_quality,"['frustrating', 'friendly', 'toddler', 'quality', 'different', 'disappointed', 'way', 'slow', 'returning', 'wanted']","['disappointed toddler friendly', 'quality way frustrating', 'quality way frustrating']",Device usability for children.,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case"
2,12,2_grandniece_happy_regular_protective,"['grandniece', 'happy', 'regular', 'protective', 'im', 'wasnt', 'tablet', 'returning', 'thats', 'thanks']","['regular tablet protective', 'happy grandniece wasnt', 'happy grandniece wasnt']",Kid-Friendly Durability and Entertainment,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case"
3,10,3_lacking_gig_recommend_troubles,"['lacking', 'gig', 'recommend', 'troubles', 'repossess', 'rating', 'products', 'paid', 'overpriced', 'loaded']","['products ive troubles', 'lacking gig recommend', 'lacking gig recommend']",Performance and Storage Limitations,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case"
4,9,4_doesnt_battery_content_attention,"['doesnt', 'battery', 'content', 'attention', 'wouldnt', 'didnt', 'bad', 'exchange', 'freezes', 'freezing']","['attention battery didnt', 'content bad doesnt', 'content bad doesnt']",Tablet Performance and Content Access,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case"
0,569,0_tablet_old_doesnt_use,"['tablet', 'old', 'doesnt', 'use', 'little', 'dont', 'dropped', 'son', 'amazon', 'problem']","['use doesnt want', 'tablet children doesnt', 'tablet children doesnt']",Tablet Usage for Children,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case"
1,433,1_loves_daughter_grandson_love,"['loves', 'daughter', 'grandson', 'love', 'granddaughter', 'tablet', 'bought', 'son', 'old', 'niece']","['daughter loves tablet', 'daughter loves tablet', 'tablet daughter loves']",Children's entertainment and learning devices,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case"
2,375,2_kids_apps_tablet_games,"['kids', 'apps', 'tablet', 'games', 'play', 'use', 'educational', 'easy', 'kid', 'great']","['kids play easy', 'apps games', 'kids apps']",Device for Kids' Entertainment,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case"
3,365,3_great_love_good_kids,"['great', 'love', 'good', 'kids', 'tablet', 'fun', 'gift', 'price', 'learning', 'product']","['love great price', 'great tablet kids', 'tablet kids great']",Affordable tablets for children,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case"
4,188,4_easy_tablet_use_bought,"['easy', 'tablet', 'use', 'bought', 'time', 'card', 'memory', 'amazon', 'kindle', 'kids']","['easy kids use', 'kids easy use', 'tablet easy use']",Ease of Use for Children,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case"
0,17,0_internet_apps_access_gig,"['internet', 'apps', 'access', 'gig', 'dropped', 'breaks', 'didnt', 'damage', 'cumbersome', 'connect']","['didnt useful yr', 'blocked types ahead', 'work dropped internet']",**Connectivity and Longevity Concerns**,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case"
1,10,1_frustrating_loose_smaller_thrilled,"['frustrating', 'loose', 'smaller', 'thrilled', 'protection', 'nephew', 'barely', 'lack', 'hours', 'hear']","['thrilled lack protection', 'hours exaggerating bit', 'barely hear returned']",Durability and Audio Quality Concerns,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case"
2,10,2_good_ok_happy_thats,"['good', 'ok', 'happy', 'thats', 'thanks', 'samsungs', 'purchased', 'tried', 'likes', 'took']","['happy grandniece wasnt', 'good ok use', 'quality good dont']","Tablet Experience: Quality, Value, and User Satisfaction",False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case"
3,9,3_tablets_ipad_repossess_apps,"['tablets', 'ipad', 'repossess', 'apps', 'doesnt', 'procedurethats', 'loaded', 'load', 'paid', 'initial']","['apps time doesnt', 'tablets repossess ipad', 'tablets repossess ipad']",Tablet App Performance and Ownership Concerns,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case"
4,8,4_wouldnt_tablet_exchange_geared,"['wouldnt', 'tablet', 'exchange', 'geared', 'freezes', 'like', 'content', 'connecting', 'bad', 'product']","['regular tablet protective', 'tablet like geared', 'reported wouldnt turn']",Durability and Performance Issues with Tablets,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case"
0,481,0_tablet_old_doesnt_little,"['tablet', 'old', 'doesnt', 'little', 'dont', 'use', 'dropped', 'slow', 'battery', 'kids']","['needs tablet dont', 'tablet children doesnt', 'great tablet doesnt']",Tablet suitability for different user groups,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case"
1,379,1_kids_tablet_apps_use,"['kids', 'tablet', 'apps', 'use', 'games', 'great', 'easy', 'learning', 'bought', 'loves']","['lots apps kids', 'kids play easy', 'kids like apps']",Engaging and accessible devices for children's entertainment.,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case"
2,375,2_loves_daughter_love_grandson,"['loves', 'daughter', 'love', 'grandson', 'granddaughter', 'old', 'son', 'bought', 'tablet', 'christmas']","['loves tablet', 'tablet daughter loves', 'daughter loves tablet']",**Topic: User Satisfaction with Children's Tablets**,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case"
3,261,3_great_good_kids_love,"['great', 'good', 'kids', 'love', 'fun', 'gift', 'tablet', 'perfect', 'price', 'entertained']","['gift kids great', 'tablet kids great', 'great tablet kids']",Excellent Present for Children,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case"
4,124,4_easy_use_tablet_amazon,"['easy', 'use', 'tablet', 'amazon', 'kids', 'play', 'games', 'time', 'free', 'like']","['kids easy use', 'easy kids use', 'tablet easy use']",**Topic: User-Friendliness for Children's Devices**,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case"
0,19,0_didnt_use_doesnt_wish,"['didnt', 'use', 'doesnt', 'wish', 'wouldve', 'hard', 'bought', 'girlfriend', 'product', 'functions']","['wish wouldve bought', 'use functions didnt', 'use functions didnt']",User experience beyond basic media consumption.,False,Amazon Tap Smart Assistant Alexaenabled (black) Brand New
1,15,1_terrible_bass_worked_thinking,"['terrible', 'bass', 'worked', 'thinking', 'scratchy', 'quality', 'fluke', 'compare', 'avail', 'tin']","['terrible bass scratchy', 'terrible bass scratchy', 'terrible bass scratchy']","Audio Quality Issues
",False,Amazon Tap Smart Assistant Alexaenabled (black) Brand New
2,9,2_alexa_answering_sound_satisfied,"['alexa', 'answering', 'sound', 'satisfied', 'questions', 'loses', 'dont', 'defeat', 'communicate', 'comes']","['satisfied sound loses', 'communicate alexa defeat', 'communicate alexa defeat']",Sound Quality and Voice Assistant Issues,False,Amazon Tap Smart Assistant Alexaenabled (black) Brand New
3,7,3_talking_speaker_phone_portable,"['talking', 'speaker', 'phone', 'portable', 'charger', 'battery', 'tap', 'echo', '', '']","['speaker talking phone', 'speaker talking phone', 'speaker talking phone']",Device Audio Quality,False,Amazon Tap Smart Assistant Alexaenabled (black) Brand New
4,5,4_say_keeps_understand_purchases,"['say', 'keeps', 'understand', 'purchases', 'music', 'additional', '', '', '', '']","['keeps say understand', 'keeps say understand', 'keeps say understand']",Speech recognition issues.,False,Amazon Tap Smart Assistant Alexaenabled (black) Brand New
0,473,0_sound_echo_use_great,"['sound', 'echo', 'use', 'great', 'easy', 'alexa', 'love', 'loves', 'music', 'like']","['great easy use', 'great easy use', 'easy use sound']",User-friendliness and audio quality.,True,Amazon Tap Smart Assistant Alexaenabled (black) Brand New
1,375,1_tap_phone_dont_didnt,"['tap', 'phone', 'dont', 'didnt', 'battery', 'doesnt', 'wanted', 'need', 'echo', 'little']","['music phone tap', 'music phone tap', 'music phone tap']",Portable entertainment devices,True,Amazon Tap Smart Assistant Alexaenabled (black) Brand New
2,240,2_great_love_product_gift,"['great', 'love', 'product', 'gift', 'good', 'fun', 'awesome', 'amazing', 'loves', 'happy']","['product great sound', 'great sound love', 'great sound love']",Fantastic Audio Experience,True,Amazon Tap Smart Assistant Alexaenabled (black) Brand New
3,196,3_portable_amazon_tap_use,"['portable', 'amazon', 'tap', 'use', 'speaker', 'echo', 'sound', 'speakers', 'alexa', 'bluetooth']","['tap echo portable', 'tap portable amazon', 'tap portable amazon']",Portable smart device compatibility.,True,Amazon Tap Smart Assistant Alexaenabled (black) Brand New
4,121,4_battery_speaker_bluetooth_amazon,"['battery', 'speaker', 'bluetooth', 'amazon', 'talk', 'plugged', 'weather', 'button', 'using', 'wake']","['rechargeable battery portable', 'music bluetooth speaker', 'music bluetooth speaker']",Portable Entertainment and Audio Connectivity,True,Amazon Tap Smart Assistant Alexaenabled (black) Brand New
0,14,0_ads_tablet_getting_basically,"['ads', 'tablet', 'getting', 'basically', 'kids', 'install', 'filled', 'screwing', 'bad', 'skipping']","['install basically worthless', 'screwing filled ads', 'screwing filled ads']",Ad-Filled Devices and User Experience,False,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
1,12,1_gives_best_worse_planning,"['gives', 'best', 'worse', 'planning', 'performance', 'misleading', 'dont', 'slow', 'terrible', 'purchase']","['slow performance dont', 'worse purchase best', 'slow performance dont']",Poor Performance and User Dissatisfaction,False,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
2,8,2_work_wouldnt_isnt_google,"['work', 'wouldnt', 'isnt', 'google', 'product', 'tablet', 'different', 'difficult', 'wall', 'shut']","['google tablet isnt', 'work product wouldnt', 'work product wouldnt']",Tablet user experience and compatibility,False,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
3,8,3_webroot_included_impossible_facebook,"['webroot', 'included', 'impossible', 'facebook', 'expected', 'device', 'children', 'apps', 'buying', 'month']","['webroot included impossible', 'facebook apps expected', 'webroot included impossible']",Apps and Security Concerns,False,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
4,5,4_user_frustrating_experience_battery,"['user', 'frustrating', 'experience', 'battery', 'trouble', 'problem', 'holding', 'defect', 'charged', 'aware']","['battery trouble holding', 'frustrating experience user', 'frustrating experience user']",Device battery and user experience issues.,False,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
0,488,0_tablet_use_wanted_amazon,"['tablet', 'use', 'wanted', 'amazon', 'need', 'kindle', 'small', 'replace', 'cheap', 'reading']","['bought tablet replace', 'like tablet use', 'wanted tablet']",**Discussion Topic: User Motivations for Tablet Purchase and Satisfaction**,True,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
1,356,1_great_good_price_tablet,"['great', 'good', 'price', 'tablet', 'product', 'perfect', 'nice', 'works', 'happy', 'recommend']","['product great price', 'product great price', 'product great price']",Affordability and Value,True,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
2,255,2_easy_games_tablet_books,"['easy', 'games', 'tablet', 'books', 'kindle', 'use', 'read', 'price', 'apps', 'user']","['tablet easy use', 'tablet easy use', 'tablet easy use']",Ease of Use for Tablets,True,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
3,178,3_loves_daughter_bought_old,"['loves', 'daughter', 'bought', 'old', 'gift', 'son', 'kids', 'love', 'easy', 'got']","['tablet daughter loves', 'daughter loves tablet', 'daughter loves tablet']",Kids' tablet experience,True,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
4,81,4_love_loved_christmas_loves,"['love', 'loved', 'christmas', 'loves', 'color', 'gift', 'absolutely', 'children', 'present', 'old']","['love easy use', 'love easy use', 'price love']",Ease of Use and Value,True,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black"
0,4,0_voyage_realize_kindle_fault,"['voyage', 'realize', 'kindle', 'fault', 'disappointed', 'customer', '', '', '', '']","['disappointed kindle voyage', 'customer realize fault', 'disappointed kindle voyage']",**Topic:** User Experience and Expectations with e-Readers,False,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers"
1,4,1_upgrade_real_paperwhite_night,"['upgrade', 'real', 'paperwhite', 'night', 'light', '', '', '', '', '']","['night light', 'real upgrade paperwhite', 'real upgrade paperwhite']","Improved reading experience, especially at night.",False,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers"
2,3,2_new_buy_annoyed_read,"['new', 'buy', 'annoyed', 'read', 'landscape', 'annoying', '', '', '', '']","['annoying read landscape', 'buy new annoyed', 'buy new annoyed']",Frustration with forced landscape mode.,False,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers"
3,2,3_service_refer_defintely_,"['service', 'refer', 'defintely', '', '', '', '', '', '', '']","['service defintely refer', 'service defintely refer']",Customer service and referral programs.,False,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers"
4,1,4_new_buy_annoyed_,"['new', 'buy', 'annoyed', '', '', '', '', '', '', '']",['buy new annoyed'],Frustration with device performance and recurring issues.,False,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers"
0,374,0_paperwhite_better_battery_books,"['paperwhite', 'better', 'battery', 'books', 'little', 'doesnt', 'need', 'dont', 'kindle', 'read']","['bought better paperwhite', 'better paperwhite', 'better paperwhite']",E-reader comparison.,True,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers"
1,279,1_kindle_best_light_ereader,"['kindle', 'best', 'light', 'ereader', 'paperwhite', 'time', 'makes', 'battery', 'version', 'screen']","['use best kindle', 'use best kindle', 'kindle light']",Optimizing Your E-Reading Experience,True,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers"
2,203,2_great_nice_happy_recommend,"['great', 'nice', 'happy', 'recommend', 'reading', 'gift', 'good', 'worth', 'reader', 'love']","['great reader bought', 'great reader bought', 'great product love']",Excellent for Reading,True,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers"
3,203,3_read_easy_reading_books,"['read', 'easy', 'reading', 'books', 'like', 'carry', 'kindle', 'weight', 'book', 'use']","['kindle read', 'easy read screen', 'easy read screen']",Reading Experience and Screen Quality,True,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers"
4,89,4_love_loves_kindle_voyage,"['love', 'loves', 'kindle', 'voyage', 'new', 'kindles', 'daughter', 'mother', 'friend', 'read']","['love new kindle', 'love kindle voyage', 'love kindle voyage']",Reading Experience,True,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers"
